actorid,name,sex,fname,lname
1656350,"Villegas, Arthur",M,Arthur,Villegas
1656399,"Villegas, Lucio",M,Lucio,Villegas
1656464,"Villella, Michael",M,Michael,Villella
1656468,"Villemaire, James",M,James,Villemaire
1656489,"Villena, Fernando (I)",M,Fernando,Villena
1656545,"Villepique, Greg",M,Greg,Villepique
1656551,"Villeret, Jacques",M,Jacques,Villeret
1656566,"Villery, Eddie",M,Eddie,Villery
1656588,"Villeval, Alain",M,Alain,Villeval
1656605,"Villien, Bruno",M,Bruno,Villien
1656612,"Villiers, Christopher",M,Christopher,Villiers
1656614,"Villiers, James",M,James,Villiers
1656615,"Villiers, Jay",M,Jay,Villiers
1656715,"Villen, Enrique",M,Enrique,Villen
1656767,"Vils, Ken 'Brother'",M,Ken,Vils
1656810,"Vilan, Carlos",M,Carlos,Vilan
1656837,"Vimol, Chet",M,Chet,Vimol
1656847,"Vin, Hong Kong",M,Hong,Vin
1656909,"Vinay, Kevin",M,Kevin,Vinay
1656930,Vince (III),M,Vince,
1656966,"Vince, Nicholas",M,Nicholas,Vince
1656969,"Vince, Pruitt Taylor",M,Pruitt,Vince
1657013,"Vincent, Alex (I)",M,Alex,Vincent
1657030,"Vincent, Bastien",M,Bastien,Vincent
1657033,"Vincent, Bill",M,Bill,Vincent
1657059,"Vincent, Christian (II)",M,Christian,Vincent
1657066,"Vincent, Claude (I)",M,Claude,Vincent
1657071,"Vincent, Craig (I)",M,Craig,Vincent
1657113,"Vincent, Ernie (I)",M,Ernie,Vincent
1657118,"Vincent, Frank (I)",M,Frank,Vincent
1657128,"Vincent, George (I)",M,George,Vincent
1657138,"Vincent, Glen",M,Glen,Vincent
1657165,"Vincent, Jan-Michael",M,Jan Michael,Vincent
1657179,"Vincent, Jeffrey",M,Jeffrey,Vincent
1657181,"Vincent, Jerald",M,Jerald,Vincent
1657188,"Vincent, Joe (I)",M,Joe,Vincent
1657203,"Vincent, Jonathan T.",M,Jonathan,Vincent
1657227,"Vincent, Larry (I)",M,Larry,Vincent
1657234,"Vincent, Leonard",M,Leonard,Vincent
1657236,"Vincent, Leslie",M,Leslie,Vincent
1657242,"Vincent, Louis (I)",M,Louis,Vincent
1657279,"Vincent, Mike (III)",M,Mike,Vincent
1657293,"Vincent, Nick (I)",M,Nick,Vincent
1657306,"Vincent, Paul (I)",M,Paul,Vincent
1657315,"Vincent, Paul Michael",M,Paul,Vincent
1657344,"Vincent, Roger",M,Roger,Vincent
1657346,"Vincent, Ron (I)",M,Ron,Vincent
1657350,"Vincent, Russ",M,Russ,Vincent
1657358,"Vincent, Sailor",M,Sailor,Vincent
1657360,"Vincent, Sam (II)",M,Sam,Vincent
1657426,"Vincentelli, Francois",M,Francois,Vincentelli
1657581,"Vine, Elgin",M,Elgin,Vine
1657588,"Vine, John",M,John,Vine
1657592,"Vine, Simon (I)",M,Simon,Vine
1657628,"Viner, Richard (I)",M,Richard,Viner
1657641,"Vines, Dion B.",M,Dion,Vines
1657656,"Vines, Notable",M,Notable,Vines
1657688,"Ving, Lee",M,Lee,Ving
1657695,"Vingelli, Nino",M,Nino,Vingelli
1657740,"Vinicius, Paulo",M,Paulo,Vinicius
1657923,"Vinovich, Steve",M,Steve,Vinovich
1657965,"Vinson, Robert (I)",M,Robert,Vinson
1657971,"Vinson, Victor",M,Victor,Vinson
1657974,"Vint, Alan",M,Alan,Vint
1657979,"Vint, Jesse",M,Jesse,Vint
1657988,"Vintas, Gustav",M,Gustav,Vintas
1658003,"Vinterberg, Thomas",M,Thomas,Vinterberg
1658031,"Vinton, Robbie",M,Robbie,Vinton
1658069,"Vinz, Jurgen",M,Jurgen,Vinz
1658124,"Viola, Jeff",M,Jeff,Viola
1658146,"Viola, Ron",M,Ron,Viola
1658180,"Violet, Jean-Luc",M,Jean Luc,Violet
1658231,"Viori, Cesare",M,Cesare,Viori
1658233,"Viot, Aurelien",M,Aurelien,Viot
1658235,"Viot, Martin",M,Martin,Viot
1658240,"Viotti, Gino",M,Gino,Viotti
1658272,"Vippolis, Andre",M,Andre,Vippolis
1658275,"Vique, Robert",M,Robert,Vique
1658314,"Viramontes, Jerry",M,Jerry,Viramontes
1658399,"Viret, Louis",M,Louis,Viret
1658415,"Virgel, Joel",M,Joel,Virgel
1658457,"Virgillito, Deimos",M,Deimos,Virgillito
1658489,"Virgo, Peter",M,Peter,Virgo
1658566,"Virlojeux, Henri",M,Henri,Virlojeux
1658633,"Virseda, Paco",M,Paco,Virseda
1658653,"Virta, Ray",M,Ray,Virta
1658712,"Virtanen, Pauli",M,Pauli,Virtanen
1658748,"Virtue, Danny",M,Danny,Virtue
1658757,"Virtue, Tom (I)",M,Tom,Virtue
1658834,"Visaroff, Michael",M,Michael,Visaroff
1658846,"Viscaino, Hidetoshi",M,Hidetoshi,Viscaino
1658909,"Visconti, Buzz",M,Buzz,Visconti
1658949,"Viscuso, Sal",M,Sal,Viscuso
1659127,"Vismale, Preston",M,Preston,Vismale
1659144,"Visnjic, Goran",M,Goran,Visnjic
1659157,"Viso, Mikey",M,Mikey,Viso
1659266,"Visser, Morne",M,Morne,Visser
1659327,"Visteen, William",M,William,Visteen
1659352,"Visvachat, M. Tom",M,M,Visvachat
1659397,"Vitagliano, Richard",M,Richard,Vitagliano
1659398,"Vitagliano, Vincenzo",M,Vincenzo,Vitagliano
1659439,"Vitale, Anthony (III)",M,Anthony,Vitale
1659442,"Vitale, Beniamino",M,Beniamino,Vitale
1659444,"Vitale, Carlo",M,Carlo,Vitale
1659452,"Vitale, Dick",M,Dick,Vitale
1659454,"Vitale, Enzo",M,Enzo,Vitale
1659506,"Vitale, Pasquale (I)",M,Pasquale,Vitale
1659525,"Vitale, Tony (I)",M,Tony,Vitale
1659530,"Vitale, Vise",M,Vise,Vitale
